date,headline,pos,neg,neu,sentiment_score
2026-03-23,Microsoft Offers Lip Service And Some Hope To Windows 11 Users,0.1237354576587677,0.009465454146265984,0.8667991161346436,0.11427000351250172
2026-03-23,Publix Weekly Ad: 3/25-4/4 or 3/26-4/4,0.01839572563767433,0.07443838566541672,0.9071658253669739,-0.056042660027742386
2026-03-23,Philip R. Lane: AI and the euro area economy,0.04552384465932846,0.023105734959244728,0.9313703775405884,0.022418109700083733
2026-03-23,"Deals: Apple Watch Series 11 $150 off, M4 MacBook Air clearance at $300 off, M3 iPad Air $200 off, Apple Pencil $59, more",0.05771247670054436,0.0650654211640358,0.8772220611572266,-0.00735294446349144
2026-03-23,"On theCUBE Pod: Neocloud expansion, token economics and Nvidia’s AI strategy",0.08266746252775192,0.013067854568362236,0.9042646288871765,0.06959960795938969
2026-03-23,Fullmosa Leather Band for Apple Watch 2-Pack for $10 + free shipping w/ Prime,0.16176263988018036,0.010528403334319592,0.8277090191841125,0.15123423654586077
2026-03-23,Get 5% Daily Cash for Purchases at Walgreens and Duane Reade When Using the Apple Card via Apple Pay,0.14085988700389862,0.010861942544579506,0.8482782244682312,0.12999794445931911
2026-03-23,AirTag 1 Gets Major Amazon Discount With 4-Pack at $59.99,0.8742194175720215,0.054642464965581894,0.0711381584405899,0.8195769526064396
2026-03-23,"UPSC Key: Induction Cooking Technology, Western Disturbances and Total Fertility Rate",0.06424910575151443,0.011953750625252724,0.9237971305847168,0.05229535512626171
2026-03-23,PYPL ALERT: Hagens Berman Alerts PayPal (PYPL) Investors to Securities Class Action Following CEO Ouster and $10B Market Cap Wipeout,0.013198381289839745,0.8789365291595459,0.10786505043506622,-0.8657381478697062
2026-03-23,New-age cos feel market ire; Apple's India push,0.022013764828443527,0.8699188828468323,0.10806739330291748,-0.8479051180183887
2026-03-23,"iPhone 16 models get big cash discount, special offers up to Rs 51,000 in latest sale",0.8984430432319641,0.024754099547863007,0.0768028125166893,0.8736889436841011
